index date   ,name,CPIH ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,ALCOHOLIC BEVERAGES AND TOBACCO,CLOTHING AND FOOTWEAR,"HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS","FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE",HEALTH,TRANSPORT,COMMUNICATION,RECREATION & CULTURE,EDUCATION,RESTAURANTS AND HOTELS,MISCELLANEOUS GOODS AND SERVICES
198801,Jan-88,46.851,47.901,27.262,191.973,38.714,68.285,37.606,40.338,96.974,73.343,12.344,32.871,45.903
198802,Feb-88,46.998,48.174,27.365,193.181,38.791,68.649,37.662,40.317,96.963,73.553,12.348,33.025,46.086
198803,Mar-88,47.202,48.324,27.433,194.760,38.993,69.179,38.192,40.559,96.968,73.580,12.349,33.115,46.108
198804,Apr-88,47.801,48.592,27.824,195.128,39.763,69.502,38.385,41.075,96.966,74.924,12.360,33.526,46.369
198805,May-88,48.044,48.714,27.931,197.851,40.011,69.834,38.513,41.217,96.958,75.220,12.365,33.670,46.538
198806,Jun-88,48.210,48.793,27.942,198.489,40.179,69.987,38.608,41.582,96.948,75.162,12.377,33.785,46.703
198807,Jul-88,48.233,48.355,27.941,195.092,40.351,69.900,38.683,41.829,96.938,75.262,12.375,33.887,47.195
198808,Aug-88,48.491,48.583,27.968,195.298,40.694,70.211,38.919,41.995,96.921,75.439,12.392,34.116,47.408
198809,Sep-88,48.716,48.765,28.016,198.023,40.830,70.752,39.014,42.107,97.645,75.386,13.117,34.359,47.560
198810,Oct-88,49.045,48.838,28.115,201.946,41.280,70.942,39.269,42.203,97.621,75.670,13.126,34.555,47.719
198811,Nov-88,49.307,49.205,28.146,203.159,41.616,71.256,39.468,42.184,97.625,75.814,13.168,34.715,48.130
198812,Dec-88,49.337,49.545,28.062,203.868,41.555,71.303,39.488,42.075,97.627,75.863,13.170,34.794,48.237
198901,Jan-89,49.530,49.967,28.350,199.563,41.772,70.921,40.441,42.394,97.581,75.969,13.212,34.981,48.900
198902,Feb-89,49.738,50.106,28.497,201.479,41.938,71.289,40.698,42.559,97.544,76.213,13.221,35.081,49.264
198903,Mar-89,50.003,50.371,28.550,202.247,42.251,71.665,40.742,42.869,97.568,76.311,13.220,35.228,49.354
198904,Apr-89,50.497,50.964,28.666,205.844,42.601,72.042,41.330,43.695,97.629,76.819,13.227,35.419,49.895
198905,May-89,50.866,51.279,28.717,207.132,43.025,72.348,41.640,44.125,97.594,77.471,13.262,35.572,50.037
198906,Jun-89,51.007,51.443,28.757,207.524,43.153,72.466,41.864,44.320,97.546,77.602,13.294,35.709,50.030
198907,Jul-89,50.996,51.133,28.776,203.484,43.285,72.371,41.969,44.291,97.486,77.899,13.318,35.919,50.233
198908,Aug-89,51.139,51.328,28.796,203.512,43.509,72.662,42.263,44.004,97.523,77.979,13.348,36.244,50.308
198909,Sep-89,51.510,51.704,28.941,207.691,43.824,72.988,42.278,44.170,99.412,78.191,13.918,36.476,50.435
198910,Oct-89,51.900,52.259,29.195,210.218,44.150,73.418,42.517,44.294,100.877,78.653,13.933,36.777,50.691
198911,Nov-89,52.093,52.777,29.168,211.519,44.262,73.700,42.637,44.143,101.630,79.320,14.020,36.905,51.016
198912,Dec-89,52.183,53.233,29.059,211.362,44.391,73.846,42.639,43.774,101.790,79.409,14.067,37.071,51.194
199001,Jan-90,52.448,53.958,29.255,206.824,44.681,73.673,43.680,44.082,101.857,79.718,14.229,37.322,51.480
199002,Feb-90,52.864,54.446,29.428,209.130,45.138,74.151,43.740,44.438,102.088,79.972,14.311,37.475,51.794
199003,Mar-90,53.085,54.740,29.537,210.528,45.228,74.893,44.232,44.678,102.011,80.209,14.314,37.641,52.053
199004,Apr-90,54.404,55.242,30.516,213.778,47.275,75.244,44.595,45.708,101.971,81.131,14.336,38.521,52.179
199005,May-90,55.026,55.912,31.176,214.802,48.041,75.786,44.778,45.979,102.233,81.588,14.356,38.994,52.484
199006,Jun-90,55.193,55.876,31.285,214.547,48.215,75.997,45.018,46.270,102.312,81.700,14.495,39.215,52.705
199007,Jul-90,55.183,55.242,31.497,208.671,48.503,75.091,45.421,46.448,102.311,81.687,14.500,39.612,52.890
199008,Aug-90,55.700,55.831,31.437,210.872,48.845,75.961,45.691,47.541,102.313,81.973,14.588,39.945,53.250
199009,Sep-90,56.228,55.985,31.497,215.645,49.116,76.578,46.406,48.577,106.315,82.382,15.467,40.276,53.535
199010,Oct-90,56.700,56.022,31.741,218.166,49.700,77.076,46.726,48.921,108.513,83.194,15.473,40.552,53.883
199011,Nov-90,56.872,56.404,31.736,219.965,50.009,77.585,46.921,48.169,109.386,83.639,15.561,40.735,54.083
199012,Dec-90,56.959,56.771,31.725,219.922,50.309,77.972,46.995,47.286,109.570,83.777,15.600,40.966,54.077
199101,Jan-91,56.964,57.159,32.049,210.958,50.518,76.576,47.350,47.236,109.669,83.803,15.715,41.193,54.484
199102,Feb-91,57.211,57.856,32.311,211.622,50.549,77.473,47.478,47.302,109.793,84.148,15.722,41.377,54.769
199103,Mar-91,57.494,57.876,32.441,213.971,50.876,78.246,47.838,47.650,109.776,84.080,15.732,41.509,54.938
199104,Apr-91,58.729,58.572,35.434,218.398,50.905,79.506,49.288,49.256,112.179,86.743,15.901,43.485,56.190
